"filename", "language", "JSON", "TypeScript", "XML", "JavaScript", "JSON with Comments", "HTML", "C#", "Python", "TypeScript JSX", "PostCSS", "YAML", "C", "C++", "comment", "blank", "total"
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\layout\AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 2, 13, 161
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\providers\AppProviders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 3, 12, 79
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 1, 33
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\store\ui.store.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\actuator\model\actuator.types.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 42
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\diagnostics\model\diagnostics.types.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 44
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\mission\model\mission.types.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 52
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\sensor\model\sensor.types.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 93
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\telemetry\lib\normalize-gateway-payload.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\telemetry\model\gateway-events.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\telemetry\model\telemetry.schemas.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\telemetry\model\telemetry.types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\entities\vehicle\model\vehicle.types.ts", "TypeScript", 0, 378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 50, 444
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\features\actuator-monitoring\store\actuator.store.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 113
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\features\diagnostics-monitoring\store\diagnostics.store.ts", "TypeScript", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 210
